 	Mean1	Mean2	Mean3
1	1417.429	1285.742	1868.623
2	1319.457	1370.903	1714.264
3	1238.086	1354.935	1550.000
4	1164.000	1279.355	1404.906
5	1087.657	1317.258	1323.226
6	1233.057	1485.677	1322.151
7	1471.800	1872.677	1300.359
8	1704.829	1896.129	1355.698
9	2044.771	1799.774	1336.830
10	2132.829	1825.613	1294.641
11	1997.400	1851.742	1306.528
12	1918.257	1834.806	1320.302
13	1818.057	1935.903	1397.283
14	1687.200	1936.806	1407.359
15	1556.629	1827.419	1293.698
16	1702.000	1843.903	1302.472
17	2898.829	1766.032	1722.396
18	3234.257	1824.226	1826.679
19	2982.314	1721.581	1832.566
20	3545.171	1784.548	1700.811
21	3577.371	1847.484	1955.906
22	3675.400	1846.290	2022.943
23	3585.428	1805.613	2019.811
24	3602.857	1862.677	2079.830
25	3501.029	1940.484	2184.830
26	3440.057	1753.323	2112.226
27	3380.686	1644.000	2043.491
28	3373.029	1542.645	1984.057
29	3189.086	1452.484	1923.906
30	3119.486	1376.677	1841.415
31	3085.743	1346.742	1790.981
32	3362.486	1884.000	1911.906
33	3557.257	2145.548	1817.434
34	3473.371	1994.419	1658.830
35	3326.057	1822.548	1530.113
36	3142.000	1590.516	1431.226
37	2886.286	1440.613	1306.755
38	2645.686	1316.258	1258.906
39	2346.257	1231.355	1189.887
40	2107.943	1154.097	1144.415
41	1973.000	1122.194	1128.132
42	1912.257	1267.129	1166.113
43	1821.371	1297.000	1142.641
44	1755.486	1325.387	1173.038
45	1668.600	1223.129	1166.736
46	1488.200	1162.032	1213.887
47	2126.600	1427.935	1631.057
48	2978.743	1675.065	2135.698
49	3260.286	1606.903	2062.151
50	3022.829	1446.323	1828.792
51	2822.857	1285.161	1696.151
52	2664.029	1211.645	1553.623
53	2527.486	1199.871	1537.906
54	2439.486	1224.839	1531.038
55	2338.486	1145.484	1480.774
56	2121.829	1103.871	1386.094
57	1938.886	1165.516	1330.075
58	1785.743	1117.129	1287.849
59	1757.029	1094.710	1259.038
60	1645.571	1053.032	1240.698
61	2042.029	1097.710	1317.509
62	2403.343	1716.258	1376.208
63	2769.686	2506.903	1413.245
64	2792.686	2688.936	1329.302
65	2723.686	2725.387	1290.679
66	2581.971	2546.064	1266.717
67	2344.572	2367.613	1215.981
68	2144.171	2393.290	1157.717
69	1991.771	2473.548	1165.340
70	1763.429	2353.774	1135.321
71	1580.371	2126.903	1092.245
72	1490.086	2006.742	1162.472
73	1427.229	1811.839	1234.170
74	1263.686	1684.323	1178.623
75	1160.171	1609.355	1176.321
76	1102.143	1714.065	1141.359
77	1374.171	1862.097	1337.208
78	1981.800	2362.548	1794.509
79	1950.114	2370.806	1722.208
80	2136.629	2309.484	1792.906
81	2303.114	2135.387	1831.491
82	2398.800	2179.129	1826.453
83	2340.857	2070.871	1933.509
84	2418.914	2066.581	1999.906
85	2272.286	1996.774	2125.038
86	2255.600	1897.065	2110.132
87	2356.771	1986.129	2282.264
88	2390.000	1888.032	2175.962
89	2382.143	1878.258	2589.660
90	2200.971	1765.194	2673.528
91	2078.514	1797.194	2728.415
92	2080.286	2027.903	2591.679
93	2633.114	2958.194	2494.151
94	2558.029	2883.710	2269.208
95	2277.400	2725.839	2082.660
96	2011.771	2495.226	1854.774
97	1785.229	2302.484	1657.528
98	1631.086	2049.323	1529.321
99	1445.343	1989.677	1436.094
100	1310.114	1823.065	1365.604
101	1221.829	1678.935	1277.792
102	1108.657	1528.677	1206.679
103	1023.314	1428.065	1161.604
104	966.143	1323.774	1126.396
105	929.371	1263.774	1076.679
106	926.314	1158.645	1073.453
107	943.543	1140.129	1087.830
108	1158.057	1434.129	1289.038
109	1206.629	1891.323	1354.962
110	1145.914	2041.968	1387.755
111	1072.714	2095.839	1383.717
112	1075.086	1998.032	1433.208
113	1051.200	2105.194	1436.453
114	1087.629	1957.742	1429.679
115	1011.743	1914.355	1348.925
116	1020.029	2303.258	1318.170
117	961.714	2715.129	1447.679
118	988.229	2612.419	1402.377
119	977.171	2419.097	1546.189
120	960.943	2282.613	1478.811
121	995.114	2424.742	1456.057
122	1015.629	2597.161	1421.321
123	1346.857	3249.548	1533.340
124	1305.886	3238.516	1439.660
125	1190.343	3039.516	1307.302
126	1132.571	2891.355	1256.170
127	1002.971	2520.903	1172.925
128	919.114	2365.936	1091.094
129	856.057	2199.097	1125.811
130	833.314	2022.065	1129.208
131	845.743	1909.226	1166.906
132	825.200	1755.194	1164.057
133	817.886	1608.097	1096.830
134	795.457	1464.613	1083.906
135	805.571	1344.871	1071.415
136	785.257	1237.871	1056.736
137	801.943	1214.323	1051.755
138	995.057	1401.548	1225.472
139	1428.543	2185.258	1694.264
140	1380.857	2468.839	1692.170
141	1252.886	2390.677	1613.528
142	1151.400	2226.129	1505.736
143	1157.343	2300.000	1544.189
144	1164.486	2291.064	1523.981
145	1086.171	2185.903	1429.585
146	1075.314	2185.742	1373.359
147	1080.800	2446.194	1323.321
148	1000.829	2349.323	1255.075
149	1019.514	2385.903	1392.906
150	1068.686	2506.226	1508.208
151	1079.457	2907.613	1656.226
152	1104.743	3091.613	1630.264
153	1250.000	3345.452	1615.585
154	1490.057	3310.419	1488.566
155	1308.971	3072.323	1339.641
156	1163.143	2895.064	1223.000
157	1157.229	2757.839	1157.057
158	1188.829	2610.871	1139.075
159	1224.714	2460.839	1103.887
160	1251.543	2232.161	1098.377
161	1175.657	2131.129	1077.377
162	1063.029	1936.323	1024.849
163	1028.200	1756.355	1015.566
164	1004.800	1573.677	986.132
165	935.457	1443.645	1000.660
166	889.571	1542.129	987.736
167	906.514	1474.645	1045.415
168	1302.600	1451.806	1093.113
169	1840.571	1639.323	1284.359
170	1889.971	1544.290	1305.660
171	1631.229	1472.935	1241.547
172	1724.914	1340.452	1227.075
173	1598.429	1286.710	1253.774
174	1628.314	1163.935	1211.453
175	1533.571	1191.581	1155.585
176	1410.600	1220.871	1142.226
177	1324.171	1218.968	1122.566
178	1296.343	1210.903	1115.811
179	1190.114	1171.968	1066.830
180	1326.171	1234.323	1135.679
181	1662.486	1546.968	1239.887
182	1684.971	1496.129	1228.585
183	1746.543	1676.710	1267.038
184	1905.714	2425.290	1321.660
185	1849.257	2444.903	1229.170
186	1653.886	2219.710	1169.660
187	1603.457	2004.129	1140.000
188	1459.914	1772.581	1079.283
189	1283.314	1687.161	1034.132
190	1140.629	1538.581	1012.226
191	1083.629	1458.452	1017.283
192	1075.457	1345.613	990.377
193	1045.343	1295.387	995.698
194	994.886	1215.065	1040.359
195	1002.771	1204.613	1076.189
196	962.114	1154.000	1102.830
197	880.857	1052.452	1068.283
198	1154.771	1042.355	1066.208
199	2211.514	1084.194	1169.302
200	2492.428	1072.323	1177.359
201	2398.771	1070.677	1140.943
202	2360.971	1031.161	1146.660
203	2450.486	985.355	1123.359
204	2538.371	970.258	1098.283
205	2496.086	977.290	1117.717
206	2517.057	1009.935	1139.906
207	2549.143	1006.516	1167.566
208	2539.171	1052.097	1190.113
209	2452.371	1020.323	1177.830
210	2270.886	1016.806	1188.981
211	2717.543	1138.387	1319.302
212	3378.114	1337.323	1420.717
213	3486.457	1332.742	1517.226
214	3445.686	1675.194	1595.736
215	3030.829	1946.742	1648.151
216	3439.286	2115.677	1495.943
217	3380.572	2090.548	1411.094
218	3316.886	1910.742	1407.528
219	3201.657	1749.323	1514.359
220	3089.314	1757.419	1574.925
221	2944.343	1761.290	1568.774
222	3026.714	1712.387	1550.962
223	2754.629	1624.194	1540.491
224	2634.657	1491.677	1470.302
225	2398.686	1414.419	1406.038
226	2095.943	1290.710	1318.453
227	1796.943	1177.387	1307.509
228	1600.571	1110.806	1260.717
229	1682.171	1187.806	1367.453
230	1780.286	1288.484	1552.094
231	1671.886	1281.290	1602.226
232	1568.600	1255.677	1603.641
233	1427.829	1196.516	1611.641
234	1451.886	1198.161	1604.415
235	1481.029	1271.742	1664.981
236	1426.229	1252.129	1673.585
237	1508.057	1312.710	1708.509
238	1472.743	1344.677	1740.151
239	1440.943	1350.935	1720.981
240	1362.029	1316.355	1802.132
241	1316.657	1265.806	1814.774
242	1197.771	1225.742	1706.057
243	1111.800	1124.161	1593.717
244	1033.743	1125.032	1472.660
245	986.714	1004.226	1390.698
246	905.686	958.258	1292.641
247	850.057	880.290	1178.377
248	830.400	871.935	1131.415
249	813.429	853.516	1095.321
250	783.143	852.161	1075.528
251	774.000	819.032	1062.566
252	746.114	836.355	1070.811
253	772.743	859.387	1041.868
254	749.486	822.742	1070.679
255	759.857	838.097	1066.453
256	755.429	844.129	1067.943
257	770.514	820.806	1051.000
258	784.057	813.419	1054.962
259	913.029	924.387	1166.208
260	1221.743	1272.032	1386.019
261	1443.914	1561.129	1419.792
262	1348.514	1577.129	1427.566
263	1276.571	1634.355	1389.170
264	1124.800	1495.839	1282.509
265	1033.543	1351.355	1204.283
266	981.543	1209.516	1161.547
267	936.743	1171.677	1159.094
268	944.686	1229.613	1152.981
269	949.000	1334.226	1142.868
270	998.400	1302.645	1142.113
271	1001.771	1255.645	1145.415
272	956.429	1157.613	1144.679
273	943.371	1255.871	1139.509
274	1056.743	1298.032	1154.547
275	1298.457	1390.516	1228.453
276	1357.114	1335.194	1187.679
277	1209.171	1221.323	1129.604
278	1108.514	1110.226	1082.755
279	1001.486	1033.516	1047.528
280	932.486	1012.839	1036.264
281	870.743	969.032	1031.679
282	845.800	956.323	1012.547
283	852.314	933.194	1017.566
284	804.629	913.581	1027.396
285	826.543	896.903	1015.924
286	781.343	893.484	1015.830
287	770.600	868.355	1018.566
288	760.371	849.452	987.208
289	776.543	875.129	998.453
290	936.029	1502.677	1130.283
291	1012.086	1991.968	1234.151
292	1061.114	2490.806	1260.340
293	1120.000	2532.064	1312.434
294	1091.400	2497.000	1343.774
295	1225.971	2660.548	1464.283
296	1246.600	2640.903	1480.415
297	1187.914	2592.355	1502.981
298	1316.429	2261.548	1846.792
299	1563.800	2791.903	1952.491
300	1748.514	2898.064	2117.075
301	1759.057	2918.129	2090.490
302	1825.029	2783.226	2072.057
303	1701.171	2535.226	2011.641
304	1733.200	2353.452	2004.472
305	1933.029	2348.290	2018.491
306	1626.200	2349.323	1782.019
307	1325.143	2163.806	1587.019
308	1096.057	1888.032	1395.019
309	990.600	1667.839	1273.585
310	941.257	1540.129	1217.208
311	875.257	1403.710	1171.981
312	856.257	1330.032	1135.132
313	816.657	1253.194	1087.491
314	787.829	1196.000	1045.321
315	778.286	1134.516	1033.189
316	782.886	1076.323	1011.736
317	784.486	1029.903	1022.623
318	737.800	989.194	1041.528
319	746.543	941.613	1039.019
320	876.886	995.290	1167.302
321	1033.114	1149.871	1449.623
322	1139.714	1259.548	1588.302
323	1115.743	1222.710	1543.679
324	1026.886	1080.742	1412.925
325	1015.257	1061.387	1367.396
326	968.800	1043.355	1308.151
327	950.657	1046.258	1301.415
328	947.400	1014.387	1250.057
329	953.800	1052.161	1262.509
330	946.800	1026.032	1241.887
331	946.800	1044.742	1229.566
332	913.686	1009.194	1145.057
333	874.857	956.871	1201.132
334	849.800	902.645	1119.396
335	839.457	910.581	1124.189
336	837.686	912.806	1085.698
337	849.400	890.774	1047.075
338	940.800	890.194	1055.245
339	1102.657	908.935	1052.415
340	1119.914	909.839	1040.302
341	1099.229	912.548	1021.302
342	1039.371	901.903	1005.736
343	993.400	925.355	1025.792
344	989.143	882.968	996.623
345	904.914	860.677	984.887
346	860.200	841.839	985.170
347	959.543	862.710	969.038
348	980.543	873.452	992.340
349	1017.771	851.806	999.491
350	1192.800	919.323	1062.736
351	1412.400	990.710	1128.226
352	1525.486	992.129	1129.226
353	1611.543	1048.548	1194.641
354	1786.514	1103.032	1314.208
355	1790.543	1063.290	1343.094
356	1818.543	1069.935	1336.453
357	1694.971	1014.290	1271.453
358	1501.743	990.484	1212.679
359	1478.829	962.452	1226.038
360	1467.514	975.645	1239.472
361	1421.600	1014.581	1254.359
362	1450.829	1024.645	1275.774
363	1532.343	1128.548	1369.000
364	1480.257	1126.742	1366.736
365	1323.771	1120.290	1343.566
366	1298.343	1205.871	1306.887
367	1135.171	1067.419	1189.623
368	1035.457	1050.806	1133.340
369	943.171	926.290	1073.660
370	871.257	921.387	1041.170
371	906.629	930.290	1043.057
372	888.200	925.968	1028.019
373	887.714	936.387	1027.019
374	865.829	895.097	1039.906
375	880.286	911.323	1035.075
376	912.657	902.516	1039.887
377	859.714	891.032	1009.094
378	830.057	889.097	1000.170
379	816.686	847.161	1027.094
380	969.057	924.129	1036.660
381	1967.029	1149.452	1288.906
382	2407.886	1193.258	1319.094
383	2271.514	1149.355	1354.774
384	2491.114	1151.065	1406.679
385	2605.343	1180.097	1415.925
386	2500.543	1058.161	1338.623
387	2448.286	1084.774	1300.302
388	2287.229	1023.129	1255.962
389	2229.029	1030.516	1264.019
390	2219.286	1039.484	1246.094
391	2352.057	1031.806	1224.094
392	2181.114	1020.710	1204.302
393	2240.457	1032.032	1213.019
394	2319.857	1041.161	1269.509
395	2701.657	1107.355	1273.189
396	2782.171	1304.000	1375.075
397	2653.543	1291.419	1327.509
398	2498.600	1216.806	1282.321
399	2241.086	1113.516	1218.075
400	2042.543	1088.097	1179.453
401	1923.800	1065.806	1161.359
402	1712.971	1054.355	1186.057
403	1548.771	1002.613	1165.774
404	1376.143	985.161	1170.396
405	1247.343	985.935	1178.094
406	1201.571	949.613	1160.057
407	1104.171	936.613	1145.604
408	1030.686	935.097	1140.547
409	986.200	920.742	1086.226
410	910.714	886.806	1063.038
411	1200.771	980.419	1206.491
412	1676.771	1120.871	1398.321
413	1599.857	1094.548	1383.547
414	1487.514	1088.710	1412.887
415	1423.114	1045.806	1392.509
416	1333.314	1006.258	1393.189
417	1346.943	1010.097	1390.566
418	1375.571	1057.097	1468.283
419	1273.543	1043.645	1442.660
420	1341.429	1084.484	1494.736
421	1274.114	1035.097	1434.585
422	1207.229	1036.516	1403.774
423	1114.143	1023.484	1371.566
424	1070.743	994.935	1384.868
425	1055.371	983.903	1387.113
426	1089.829	1102.935	1394.906
427	1176.486	1154.968	1360.019
428	1146.200	1075.419	1278.755
429	1047.086	1022.903	1210.019
430	997.429	959.613	1167.736
431	952.771	939.226	1142.113
432	893.857	939.581	1110.377
433	880.714	906.323	1113.472
434	854.571	902.129	1100.623
435	845.029	948.839	1099.566
436	829.143	912.968	1078.585
437	810.457	902.032	1057.679
438	806.829	881.613	1047.264
439	779.457	876.871	1038.868
440	831.629	893.387	1102.491
441	979.743	985.194	1337.585
442	1509.257	1188.871	1646.755
443	1701.286	1247.065	1751.641
444	1769.200	1225.742	1863.359
445	1563.514	1155.290	1889.509
446	1481.429	1110.226	1803.547
447	1268.029	1081.516	1587.000
448	1202.429	1032.839	1492.245
449	1199.514	986.000	1382.491
450	1130.457	976.290	1321.925
451	1050.286	967.710	1284.604
452	1016.971	1018.161	1301.660
453	1189.886	1113.065	1805.321
454	1167.029	1041.581	1783.208
455	1218.857	1001.452	1622.509
456	1194.771	1065.806	1514.925
457	1487.200	1158.258	1387.698
458	1377.914	1195.226	1303.943
459	1357.029	1177.968	1186.755
460	1527.543	1111.161	1126.925
461	1449.657	1092.258	1096.094
462	1387.571	1034.484	1108.226
463	1251.143	1035.387	1126.491
464	1149.657	1027.419	1142.264
465	1073.914	962.581	1193.359
466	1023.686	1004.323	1186.528
467	1020.714	984.581	1220.585
468	934.914	1012.194	1272.283
469	930.629	966.677	1219.170
470	870.429	887.032	1206.906
471	851.743	929.452	1258.245
472	966.029	1156.161	1408.075
473	980.800	1231.290	1471.679
474	1091.371	1542.419	1608.604
475	1141.657	1586.839	1683.302
476	1215.029	1483.677	1737.245
477	1090.800	1348.419	1565.472
478	1085.800	1258.806	1449.868
479	1043.686	1191.065	1323.528
480	979.257	1114.903	1252.359
481	963.943	1172.000	1264.377
482	975.400	1237.323	1320.000
483	1008.114	1356.935	1416.660
484	940.743	1301.226	1358.434
485	918.743	1247.355	1277.679
486	935.971	1290.452	1309.774
487	1101.057	1661.452	1381.245
488	1180.229	1600.871	1323.604
489	1157.371	1443.323	1266.019
